TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR|FLAGPROD
5960/TAT/HO/09/2022|20115539|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20116706|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20117892|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20117966|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20118116|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20118117|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20119810|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20119813|22/09/2022|30/09/2022|HBS=Y
5960/TAT/HO/09/2022|20119966|22/09/2022|30/09/2022|HBS=Y
5859/TAT/HO/09/2022|20054545|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20054546|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20054547|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20068921|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20071839|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20071840|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20071841|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20084975|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20084976|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20084977|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20088406|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20088407|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20088408|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20100405|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20113086|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20113087|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20113088|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20113089|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115340|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115444|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115445|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115446|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115447|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20115448|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20119397|01/09/2022|30/09/2022|
5859/TAT/HO/09/2022|20119398|01/09/2022|30/09/2022|
