PLU|DC|WILAYAH|FLAGPROD|MINOR|TIPE_GDG
10004493|G097|MDO|BAP=Y|1|
10004501|G097|MDO||5|
10004502|G097|MDO||5|
10004503|G097|MDO||5|
10004509|G097|MDO|BAP=Y|0|
10004513|G097|MDO||1|
10004532|G097|MDO||1|
10004534|G097|MDO|TBO=Y|40|
10004540|G097|MDO||2|
10004541|G097|MDO||2|
10004553|G097|MDO||0|
10004583|G097|MDO|TBO=Y|1|
10004588|G097|MDO||1|
10004590|G097|MDO||1|
10004610|G097|MDO||1|
10004612|G097|MDO||1|
10004634|G097|MDO||10|
10004638|G097|MDO|TBO=N|13|
10004655|G097|MDO||1|
10004656|G097|MDO||1|
10004664|G097|MDO||1|
10004668|G097|MDO|TBO=N|8|
10004669|G097|MDO|TBO=N|24|
10004676|G097|MDO|TBO=N|4|
10004714|G097|MDO|TBO=N|9|
10004715|G097|MDO|TBO=N|48|
10004771|G097|MDO||1|
10004778|G097|MDO||1|
10004779|G097|MDO|TBO=N|40|
10004780|G097|MDO||2|
10004823|G097|MDO||1|
10004884|G097|MDO||2|
10004906|G097|MDO||30|
10004921|G097|MDO||0|
10004946|G097|MDO|TBO=Y|1|
10004949|G097|MDO|TBO=N|2|
10004950|G097|MDO||2|
10004977|G097|MDO|BAP=Y|6|
10004980|G097|MDO||1|
10004982|G097|MDO||10|
10005003|G097|MDO||0|
10005009|G097|MDO||1|
10005019|G097|MDO||0|
10005038|G097|MDO||40|
10005039|G097|MDO||40|
10005059|G097|MDO|TBO=N|1|
10005073|G097|MDO|TBO=N|6|
10005128|G097|MDO|TBO=N|24|
10005132|G097|MDO|TBO=Y|1|
10005133|G097|MDO||1|
10005166|G097|MDO||1|
10005171|G097|MDO||1|
10005198|G097|MDO||1|
10005233|G097|MDO||1|
10005241|G097|MDO||1|
10005245|G097|MDO||12|
10005246|G097|MDO||1|
10005279|G097|MDO|TBO=N|3|
10005302|G097|MDO||6|
10005309|G097|MDO||1|
10005310|G097|MDO||1|
10005314|G097|MDO||1|
10005315|G097|MDO|TBO=N|6|
10005338|G097|MDO|TBO=N|2|
10005355|G097|MDO||1|
10005359|G097|MDO||1|
10005378|G097|MDO|TBO=N|1|
10005427|G097|MDO||2|
10005428|G097|MDO||2|
10005434|G097|MDO||2|
10005441|G097|MDO||5|
10005442|G097|MDO|TBO=N|24|
10005455|G097|MDO||1|
10005468|G097|MDO|TBO=N|5|
10005473|G097|MDO||1|
10005475|G097|MDO||2|C
10005480|G097|MDO||2|
10005482|G097|MDO||12|
10005489|G097|MDO||2|
10005491|G097|MDO|TBO=N|1|
10005494|G097|MDO||1|
10005497|G097|MDO|TBO=Y|1|
10005583|G097|MDO||1|
10005587|G097|MDO||2|
10005599|G097|MDO|TBO=N|3|
10005600|G097|MDO|TBO=N|1|
10005601|G097|MDO|TBO=N|2|
10005643|G097|MDO||1|
10005660|G097|MDO||2|
10005662|G097|MDO|TBO=N|1|
10005680|G097|MDO||2|
10005701|G097|MDO||1|
10005744|G097|MDO||0|
10005746|G097|MDO||1|
10005760|G097|MDO|TBO=Y|1|C
10005761|G097|MDO|TBO=Y|1|
10005800|G097|MDO||1|
10005802|G097|MDO|TBO=N|1|
10005803|G097|MDO|TBO=N|1|
10005820|G097|MDO||2|
10005821|G097|MDO||1|
10005836|G097|MDO|TBO=N|2|
10005838|G097|MDO|TBO=N|12|
10005839|G097|MDO|TBO=Y|12|
10005875|G097|MDO||0|
10005878|G097|MDO||1|
10005904|G097|MDO||10|
10005909|G097|MDO||4|
10005918|G097|MDO||1|
10005922|G097|MDO||10|
10005957|G097|MDO|TBO=N|1|
10005974|G097|MDO|TBO=N|2|
10005980|G097|MDO||1|
10006069|G097|MDO||1|
10006118|G097|MDO||10|
10006119|G097|MDO||10|
10006126|G097|MDO||1|
10006128|G097|MDO|TBO=Y|36|
10006131|G097|MDO|TBO=Y|2|
10006139|G097|MDO||1000|
10006149|G097|MDO||1|
10006150|G097|MDO|BAP=Y,TBO=N|1|
10006151|G097|MDO|BAP=Y|1|
10006153|G097|MDO||0|
10006168|G097|MDO|TBO=N|1|
10006178|G097|MDO||2|
10006194|G097|MDO||1|
10006195|G097|MDO||1|
10006200|G097|MDO||1|
10006258|G097|MDO||1|
10006259|G097|MDO||1|
10006260|G097|MDO||2|
10006262|G097|MDO||1|
10006263|G097|MDO||10|
10006334|G097|MDO||1|
10006361|G097|MDO||1|
10006362|G097|MDO||1|
10006363|G097|MDO|TBO=Y|1|
10006412|G097|MDO||1|C
10006419|G097|MDO|TBO=N|1|
10006420|G097|MDO||1|
10006422|G097|MDO||0|
10006426|G097|MDO||1|
10006468|G097|MDO||1|
10006518|G097|MDO||1|C
10006534|G097|MDO|TBO=N|4|
10006539|G097|MDO||1|
10006540|G097|MDO||1|
10006543|G097|MDO||1|
10006544|G097|MDO||1|
10006565|G097|MDO||1|
10006651|G097|MDO||1|
10006671|G097|MDO||1|
10006672|G097|MDO||2|
10006712|G097|MDO||1|
10006782|G097|MDO||1|
10006830|G097|MDO||0|
10006844|G097|MDO||1|
10006861|G097|MDO||0|
10006876|G097|MDO||1|
10006885|G097|MDO|TBO=N|48|
10006890|G097|MDO|TBO=N|12|
10006894|G097|MDO||1|
10006895|G097|MDO||1|
10006908|G097|MDO||1|
10006909|G097|MDO||1|
10006913|G097|MDO||1|
10006938|G097|MDO|TBO=Y|1|
10006955|G097|MDO|TBO=N|3|
10006957|G097|MDO|TBO=N|1|
10006967|G097|MDO||2|
10007001|G097|MDO||1|
10007224|G097|MDO||1|C
10007241|G097|MDO||1|
10007258|G097|MDO|TBO=Y|4|
10007275|G097|MDO||1|
10007336|G097|MDO||1|
10007377|G097|MDO||1|
10007379|G097|MDO|TBO=N|2|
10007380|G097|MDO|TBO=N|24|
10007385|G097|MDO||1|
10007386|G097|MDO||1|
10007389|G097|MDO|TBO=N|2|
10007391|G097|MDO||0|
10007392|G097|MDO||1|
10007415|G097|MDO|TBO=N|4|
10007469|G097|MDO||1|
10007485|G097|MDO||1|
10007606|G097|MDO||40|
10007615|G097|MDO|BAP=Y|1000|
10007668|G097|MDO|BAP=Y|1000|
10007747|G097|MDO||0|
10007757|G097|MDO||1|
10007758|G097|MDO||1|
10007775|G097|MDO||2|
10007803|G097|MDO||1|
10007805|G097|MDO||1|
10007920|G097|MDO||1|
10007921|G097|MDO||1|
10007934|G097|MDO||1|
10007970|G097|MDO||24|
10007971|G097|MDO||2|
10007972|G097|MDO||4|
10007973|G097|MDO||4|
10007974|G097|MDO||4|
10007975|G097|MDO||6|
10008018|G097|MDO||1|
10008034|G097|MDO|BAP=Y|0|
10008035|G097|MDO|BAP=Y|0|
10008064|G097|MDO||1|
10008081|G097|MDO||2|
10008093|G097|MDO||1|
10008095|G097|MDO|TBO=N|4|
10008104|G097|MDO|TBO=N|1|
10008114|G097|MDO||1|
10008133|G097|MDO||1|
10008142|G097|MDO||0|P
10008143|G097|MDO||1|
10008170|G097|MDO||1|
10008178|G097|MDO||1|
10008241|G097|MDO|BAP=Y|1000|
10008243|G097|MDO||0|
10008251|G097|MDO|BAP=Y|1|
10008283|G097|MDO||1|
10008285|G097|MDO||0|
10008297|G097|MDO||1|
10008298|G097|MDO||1|
10008305|G097|MDO||0|
10008314|G097|MDO|TBO=N|1|
10008316|G097|MDO|TBO=N|2|
10008323|G097|MDO||1|
10008325|G097|MDO||0|
10008347|G097|MDO||0|
10008348|G097|MDO||1|
10008353|G097|MDO||0|
10008425|G097|MDO||1|
10008451|G097|MDO||20|
10008469|G097|MDO||12|
10008480|G097|MDO||1|
10008481|G097|MDO||1|
10008484|G097|MDO||1|
10008532|G097|MDO||0|
10008550|G097|MDO||4|
