RECID|RTYPE|DOCNO|SEQNO|DIV|PRDCD|QTY|PRICE|GROSS|CTERM|DOCNO2|ISTYPE|INVNO|TOKO|DATE|DATE2|KETERANGAN|PTAG|CAT_COD|LOKASI|TGL1|TGL2|PPN|TOKO_1|DATE3|DOCNO3|SHOP|PRICE_IDM|PPNBM_IDM|PPNRP_IDM|LT|RAK|BAR|BKP|SUB_BKP|PLUMD|GROSS_JUAL|PRICE_JUAL|KODE_SUPPLIER|DISC05|RATE_PPN|JAM
|X|172842|1|32|10004031|-5010|7.31|-36624|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10004031|0|0.00||0.0000|0|07:42:41
|X|172842|1|46|20071970|1090|26.72|29129|0|172842|KO|0|TI4C|220816|0|KONVERSI NKL||064608||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||T|Y|20071970|0|0.00||0.0000|0|07:27:56
|X|172842|1|37|20100081|-2|6000.00|-12000|1|3578|BA|3578|SIKH|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6000.000|0.000|0.000||||T|Y||-12000|6000.00|51295|0.0000|0|07:30:14
|X|172842|1|37|20100100|-1|6000.00|-6000|1|3578|BA|3578|SIKH|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6000.000|0.000|0.000||||T|Y||-6000|6000.00|51295|0.0000|0|07:30:23
|X|172842|1|37|20122957|-1|6000.00|-6000|1|3578|BA|3578|SIKH|220816|0|BA RTE ||043706|01|16-08-2022|16-08-2022|0.0000000|||0|TI4C|6000.000|0.000|0.000||||T|Y||-6000|6000.00|51295|0.0000|0|07:30:33
|X|172843|1|32|20054820|3006|12.18|36623|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054820|0|0.00||0.0000|0|07:42:42
|X|172844|1|32|10004031|-4314|7.31|-31536|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10004031|0|0.00||0.0000|0|07:42:50
|X|172845|1|32|20054820|2588|12.18|31530|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054820|0|0.00||0.0000|0|07:42:52
|X|172846|1|32|10030571|-1110|16.00|-17759|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:43:03
|X|172847|1|32|20054823|777|22.86|17760|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:43:03
|X|172848|1|32|10030571|-1080|16.00|-17279|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:43:19
|X|172849|1|32|20054823|756|22.86|17280|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:43:20
|X|172850|1|32|10030571|-1082|16.00|-17311|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:43:28
|X|172851|1|32|20054823|757|22.86|17303|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:43:29
|X|172852|1|32|10030571|-970|16.00|-15519|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:43:38
|X|172853|1|32|20054823|679|22.86|15520|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|20054823|0|0.00||0.0000|0|07:43:39
|X|172854|1|32|10030571|-1166|16.00|-18655|1|0|KO|0|TI4C|220816|0|KONVERSI NKL||043201||16-08-2022|16-08-2022|0.0000000|||0|TI4C|0.000|0.000|0.000||||F|N|10030571|0|0.00||0.0000|0|07:43:46
